Contract_Number,DSNP_Contract_Status
H0628,Co-Mingled
H0901,Co-Mingled
H1013,Co-Mingled
H1076,Co-Mingled
H1206,Co-Mingled
H1419,Co-Mingled
H1608,Co-Mingled
H1609,Co-Mingled
H1610,DSNP-FIDE
H1692,Co-Mingled
H2112,Co-Mingled
H2293,Co-Mingled
H2663,Co-Mingled
H2667,Co-Mingled
H2672,Co-Mingled
H3146,Co-Mingled
H3152,Co-Mingled
H3192,Co-Mingled
H3239,Co-Mingled
H3288,Co-Mingled
H3312,Co-Mingled
H3597,Co-Mingled
H3931,Co-Mingled
H3959,Co-Mingled
H4523,Co-Mingled
H4711,Co-Mingled
H4982,Co-Mingled
H5302,Co-Mingled
H5325,DSNP-Only
H5337,Co-Mingled
H5414,Co-Mingled
H5521,Co-Mingled
H5522,Co-Mingled
H5593,DSNP-Only
H5793,Co-Mingled
H5813,Co-Mingled
H5850,Co-Mingled
H6399,FIDE
H7149,Co-Mingled
H8597,DSNP-Only
H8649,Co-Mingled